Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Townsville City - North Ward",7364,178,53,12,995,8608,
"Wulguru - Roseneath",4975,672,107,51,262,6076,
"Ashfield - Kepnock",4537,167,3,14,260,4980,
"Bargara - Burnett Heads",14390,313,27,12,643,15386,
"Branyan - Kensington",3645,93,3,4,146,3887,
"Bundaberg",5461,347,19,9,337,6179,
"Bundaberg East - Kalkie",4756,134,6,11,310,5214,
"Bundaberg North - Gooburrum",6638,246,12,15,387,7286,
"Bundaberg Region - North",7497,144,13,8,359,8015,
"Bundaberg Region - South",8663,224,3,17,476,9386,
"Millbank - Avoca",6922,238,14,21,460,7649,
"Svensson Heights - Norville",5324,181,17,5,227,5757,
"Walkervale - Avenell Heights",9908,437,30,49,575,10999,
"Gayndah - Mundubbera",5681,284,27,29,405,6428,
"Gin Gin",4703,133,11,11,214,5066,
"Kingaroy",9155,294,16,11,331,9809,
"Kingaroy Region - North",7088,1789,11,43,387,9327,
"Kingaroy Region - South",3473,63,0,0,174,3715,
"Monto - Eidsvold",3226,257,7,0,221,3716,
"Nanango",8653,286,13,24,442,9413,
"North Burnett",5,0,0,0,0,5,
"Cooloola",5282,129,10,6,298,5723,
"Gympie - North",12230,401,16,18,541,13210,
"Gympie - South",5810,160,12,3,313,6298,
"Gympie Region",15671,382,32,13,789,16883,
"Kilkivan",3213,97,7,0,266,3574,
"Booral - River Heads",3856,150,17,0,134,4159,
"Craignish - Dundowran Beach",4235,59,9,3,180,4488,
"Pialba - Eli Waters",11554,435,23,23,552,12597,
"Point Vernon",5278,175,9,5,227,5691,
"Torquay - Scarness - Kawungan",13386,512,10,27,577,14515,
"Urangan - Wondunna",10610,297,19,23,441,11391,
"Burrum - Fraser",7853,316,8,26,466,8660,
"Granville",2925,94,13,12,114,3164,
"Maryborough (Qld)",16338,758,53,35,996,18177,
"Maryborough Region - South",7089,183,11,7,356,7649,
"Tinana",4644,87,3,0,137,4876,
